energy	h1_total	o16_total
6686.33	19.5741	3.87279
7076.84	19.5228	3.87188
7490.15	19.4747	3.87092
7927.6	19.4238	3.86991
8390.61	19.3756	3.86883
8880.65	19.3256	3.8677
9399.31	19.2769	3.86649
9948.27	19.2267	3.86522
10529.3	19.1462	3.86391
11144.2	19.0582	3.86253
11795.1	18.965	3.86107
12484	18.8664	3.85952
13213.1	18.782	3.85788
13984.8	18.693	3.85614
14801.5	18.599	3.85431
15666	18.5121	3.85237
16581	18.4242	3.85031
17549.3	18.3319	3.84813
18574.3	18.2474	3.84583
19659.1	18.158	3.84339
20807.3	18.0386	3.84081
22022.5	17.9011	3.83808
23308.7	17.7663	3.83519
24670	17.6304	3.83213
26110.8	17.5032	3.82889
27635.8	17.3738	3.82546
29249.8	17.2368	3.82184
30958.1	17.0851	3.818
32766.2	16.919	3.81393
34679.9	16.7431	3.80963
36705.3	16.5812	3.80508
38849	16.4146	3.80026
41118	16.2352	3.79516
43519.4	16.0421	3.78977
46061.1	15.8483	3.78405
48751.2	15.659	3.77801
51598.5	15.4569	3.77186
54612	15.2414	3.76557
57801.6	15.0346	3.75891
61177.4	14.8187	3.75186
64750.4	14.5898	3.7444
68532.1	14.3685	3.73651
72534.6	14.137	3.72815
76770.9	13.9011	3.7193
81254.6	13.6645	3.70994
86000.1	13.42	3.70003
91022.9	13.1773	3.68954
96338.9	12.928	3.67845
101966	12.6802	3.66715
107921	12.4229	3.65607
114224	12.1717	3.64434
120895	11.9183	3.63194
127955	11.6595	3.6188
135429	11.4057	3.6049
143338	11.1498	3.59019
151710	10.8904	3.57523
160570	10.6365	3.56188
169948	10.379	3.54776
179873	10.1283	3.53281
190379	9.8758	3.51699
201497	9.6301	3.50085
213266	9.38704	3.48785
225721	9.14216	3.47611
238904	8.8984	3.46623
252857	8.66387	3.46245
267625	8.42972	3.46512
283255	8.19815	3.47807
299798	7.97068	3.50835
317308	7.75017	3.57654
335840	7.53319	3.71279
355454	7.32035	3.99857
376214	7.11193	4.67326
398186	6.9079	6.60366
421442	6.70908	12.9639
446055	6.51594	13.8112
472107	6.3269	6.7174
499679	6.14179	4.49365
528863	5.96743	3.70368
559750	5.79045	3.32699
592442	5.61999	3.1108
627042	5.45613	2.96733
663664	5.29442	2.86122
702424	5.13644	2.78182
743449	4.9853	2.7275
786869	4.83831	2.70914
832825	4.69503	2.76609
881465	4.55567	3.03715
932946	4.42011	4.17216
987433	4.28829	7.81646
1.0451e+06	4.16325	5.59024
1.10614e+06	4.0358	3.51697
1.17074e+06	3.91654	2.85027
1.23912e+06	3.79865	2.7447
1.31149e+06	3.68247	6.67831
1.38808e+06	3.57072	2.50677
1.46915e+06	3.46247	2.10564
1.55496e+06	3.35631	1.93393
1.64577e+06	3.2526	2.81251
1.74189e+06	3.15142	1.69088
1.84363e+06	3.05265	2.34156
1.9513e+06	2.95616	1.81195
2.06526e+06	2.86183	1.49166
2.18588e+06	2.76944	1.28669
2.31355e+06	2.67934	0.413298
2.44867e+06	2.59142	0.889714
2.59168e+06	2.50487	1.09107
2.74304e+06	2.42065	1.09056
2.90324e+06	2.33776	1.08653
3.07281e+06	2.25768	1.39659
3.25227e+06	2.17817	2.90309
3.44221e+06	2.10043	4.69243
3.64325e+06	2.02444	3.06214
3.85603e+06	1.95009	2.40934
4.08124e+06	1.87733	1.21681
4.3196e+06	1.80607	2.97512
4.57188e+06	1.73626	1.32462
4.83889e+06	1.66818	2.01998
5.1215e+06	1.60158	3.51093
5.42062e+06	1.53646	0.980783
5.7372e+06	1.47322	1.39248
6.07227e+06	1.41165	1.33516
6.42692e+06	1.35134	1.10433
6.80227e+06	1.29269	1.41935
7.19955e+06	1.2368	1.82295
7.62003e+06	1.18119	1.15627
8.06507e+06	1.12726	0.901081
8.5361e+06	1.07496	1.11363
9.03464e+06	1.0245	1.3291
9.5623e+06	0.975748	1.21637
1.01208e+07	0.92863	1.40296
1.07119e+07	0.883081	1.2349
1.13375e+07	0.839016	1.6301
1.19996e+07	0.796335	1.64883
1.27004e+07	0.755722	1.55214
1.34422e+07	0.716309	1.5974
1.42273e+07	0.678643	1.61566
1.50582e+07	0.642282	1.75609
1.59377e+07	0.607495	1.59484
1.68685e+07	0.57416	1.58627
1.78537e+07	0.542211	1.62471
1.88964e+07	0.511607	1.67883
2e+07	0.482296	1.6398
