energy	cross_section
0.252857	0.12004
0.267625	0.118326
0.283255	0.116762
0.299798	0.115108
0.317308	0.114446
0.33584	0.114078
0.355454	0.113776
0.376214	0.112983
0.398186	0.112215
0.421442	0.111575
0.446055	0.110979
0.472107	0.110201
0.499679	0.109682
0.528863	0.110288
0.55975	0.110815
0.592442	0.111797
0.627042	0.114875
0.663664	0.118138
0.702424	0.120673
0.743449	0.121622
0.786869	0.124043
0.832825	0.127529
0.881465	0.133371
0.932946	0.140092
0.987433	0.140133
1.0451	0.139477
1.10614	0.144676
1.17074	0.144409
1.23912	0.134293
1.31149	0.162533
1.38808	0.247312
1.46915	0.386647
1.55496	0.468875
1.64577	0.4996
1.74189	0.524635
1.84363	0.546747
1.9513	0.564745
2.06526	0.575832
2.18588	0.576933
2.31355	0.572045
2.44867	0.565945
2.59168	0.558437
2.74304	0.55049
2.90324	0.539912
3.07281	0.533659
3.25227	0.536352
3.44221	0.540682
3.64325	0.545763
3.85603	0.550795
4.08124	0.554005
4.3196	0.553433
4.57188	0.551876
4.83889	0.54645
5.1215	0.543424
5.42062	0.548923
5.7372	0.569785
6.07227	0.642194
6.42692	0.792933
6.80227	0.905703
7.19955	0.959841
7.62003	0.986711
8.06507	0.995368
8.5361	1.00088
9.03464	0.998571
9.5623	0.992804
10.1208	0.987562
10.7119	0.985322
11.3375	0.98454
11.9996	0.986149
12.7004	1.00567
13.4422	1.0657
14.2273	1.14243
15.0582	1.20227
15.9377	1.25607
16.8685	1.257
17.8537	1.2507
18.8964	1.29096
20	1.35241
