energy	macroscopic_cross_section
0.0276358	1.28968e+24
0.0292498	1.27989e+24
0.0309581	1.26954e+24
0.0327662	1.25857e+24
0.0346799	1.24697e+24
0.0367053	1.23594e+24
0.038849	1.2245e+24
0.041118	1.2124e+24
0.0435194	1.19993e+24
0.0460611	1.18721e+24
0.0487512	1.17375e+24
0.0515985	1.16023e+24
0.054612	1.14652e+24
0.0578016	1.13201e+24
0.0611774	1.11666e+24
0.0647504	1.10159e+24
0.0685321	1.08637e+24
0.0725346	1.07026e+24
0.0767709	1.05408e+24
0.0812546	1.03824e+24
0.0860001	1.02147e+24
0.0910229	1.00495e+24
0.0963389	9.88021e+23
0.101966	9.70998e+23
0.107921	9.54742e+23
0.114224	9.37537e+23
0.120895	9.19326e+23
0.127955	9.01387e+23
0.135429	8.84363e+23
0.143338	8.66345e+23
0.15171	8.47936e+23
0.16057	8.31181e+23
0.169948	8.13447e+23
0.179873	7.95952e+23
0.190379	7.78836e+23
0.201497	7.61036e+23
0.213266	7.44347e+23
0.225721	7.27579e+23
0.238904	7.10948e+23
0.252857	6.95138e+23
0.267625	6.7957e+23
0.283255	6.64517e+23
0.299798	6.50318e+23
0.317308	6.37852e+23
0.33584	6.27898e+23
0.355454	6.2322e+23
0.376214	6.31842e+23
0.398186	6.82743e+23
0.421442	8.82109e+23
0.446055	8.97523e+23
0.472107	6.47693e+23
0.499679	5.60962e+23
0.528863	5.22888e+23
0.55975	4.98458e+23
0.592442	4.79831e+23
0.627042	4.64076e+23
0.663664	4.49715e+23
0.702424	4.36495e+23
0.743449	4.24613e+23
0.786869	4.14129e+23
0.832825	4.06452e+23
0.881465	4.06195e+23
0.932946	4.3508e+23
0.987433	5.48116e+23
1.0451	4.65319e+23
1.10614	3.87474e+23
1.17074	3.57207e+23
1.23912	3.45794e+23
1.31149	4.69549e+23
1.38808	3.22596e+23
1.46915	3.01945e+23
1.55496	2.89105e+23
1.64577	3.11546e+23
1.74189	2.67277e+23
1.84363	2.82428e+23
1.9513	2.58268e+23
2.06526	2.41251e+23
2.18588	2.28219e+23
2.31355	1.92991e+23
2.44867	2.03041e+23
2.59168	2.03986e+23
2.74304	1.98337e+23
2.90324	1.92659e+23
3.07281	1.97671e+23
3.25227	2.42725e+23
3.44221	2.97355e+23
3.64325	2.37763e+23
3.85603	2.10964e+23
4.08124	1.66226e+23
4.3196	2.20251e+23
4.57188	1.60396e+23
4.83889	1.79094e+23
5.1215	2.24491e+23
5.42062	1.35539e+23
5.7372	1.45076e+23
6.07227	1.39042e+23
6.42692	1.27291e+23
6.80227	1.33902e+23
7.19955	1.43659e+23
7.62003	1.1765e+23
8.06507	1.0551e+23
8.5361	1.0912e+23
9.03464	1.1295e+23
9.5623	1.0592e+23
10.1208	1.09008e+23
10.7119	1.00343e+23
11.3375	1.1061e+23
11.9996	1.08383e+23
12.7004	1.02434e+23
13.4422	1.01311e+23
14.2273	9.94031e+22
15.0582	1.01667e+23
15.9377	9.39492e+22
16.8685	9.14334e+22
17.8537	9.05823e+22
18.8964	9.03452e+22
20	8.70801e+22
