energy	water_macroscopic	uranium_macroscopic
2.59168e+06	2.03986e+23	2.89842e+23
2.74304e+06	1.98337e+23	2.90767e+23
2.90324e+06	1.92659e+23	2.92516e+23
3.07281e+06	1.97671e+23	2.9456e+23
3.25227e+06	2.42725e+23	2.96808e+23
3.44221e+06	2.97355e+23	2.98997e+23
3.64325e+06	2.37763e+23	3.00546e+23
3.85603e+06	2.10964e+23	3.01007e+23
4.08124e+06	1.66226e+23	3.00039e+23
4.3196e+06	2.20251e+23	2.97388e+23
4.57188e+06	1.60396e+23	2.93337e+23
4.83889e+06	1.79094e+23	2.87824e+23
5.1215e+06	2.24491e+23	2.80509e+23
5.42062e+06	1.35539e+23	2.71804e+23
5.7372e+06	1.45076e+23	2.66622e+23
6.07227e+06	1.39042e+23	2.63825e+23
6.42692e+06	1.27291e+23	2.65736e+23
6.80227e+06	1.33902e+23	2.67553e+23
7.19955e+06	1.43659e+23	2.66954e+23
7.62003e+06	1.1765e+23	2.62647e+23
8.06507e+06	1.0551e+23	2.56059e+23
8.5361e+06	1.0912e+23	2.48407e+23
9.03464e+06	1.1295e+23	2.40332e+23
9.5623e+06	1.0592e+23	2.31807e+23
1.01208e+07	1.09008e+23	2.23952e+23
1.07119e+07	1.00343e+23	2.17521e+23
1.13375e+07	1.1061e+23	2.12068e+23
1.19996e+07	1.08383e+23	2.07873e+23
1.27004e+07	1.02434e+23	2.06095e+23
1.34422e+07	1.01311e+23	2.09414e+23
1.42273e+07	9.94031e+22	2.14613e+23
1.50582e+07	1.01667e+23	2.18364e+23
1.59377e+07	9.39492e+22	2.24532e+23
1.68685e+07	9.14334e+22	2.26903e+23
1.78537e+07	9.05823e+22	2.28664e+23
1.88964e+07	9.03452e+22	2.32635e+23
2e+07	8.70801e+22	2.42714e+23
