energy	u235_fission	u235_capture	u238_fission	u238_capture
8390.61	3.0058	1.30823	6.85231e-08	0.0162557
8880.65	2.94604	1.20472	1.554e-08	1.16291
9399.31	3.18702	1.17212	4.58974e-07	0.0135202
9948.27	2.84255	0.998701	1.7144e-08	0.333361
10529.3	2.94981	1.02823	2.2e-07	0.704756
11144.2	3.00441	1.04257	2.2e-07	0.688758
11795.1	2.73399	0.944513	2.2e-07	0.671825
12484	2.54067	0.874711	2.2e-07	0.656309
13213.1	2.98722	1.02542	2.2e-07	0.640966
13984.8	2.68385	0.918571	2.2e-07	0.624726
14801.5	2.79771	0.954681	2.2e-07	0.610313
15666	2.45528	0.835863	2.2e-07	0.595114
16581	2.40078	0.815606	2.2e-07	0.580521
17549.3	2.4014	0.814121	2.2e-07	0.565985
18574.3	2.55398	0.86466	2.2e-07	0.551749
19659.1	2.40187	0.812138	2.2e-07	0.537636
20807.3	2.1497	0.7243	2.2e-07	0.524269
22022.5	2.52024	0.845249	2.2e-07	0.510822
23308.7	2.10199	0.701784	2.2e-07	0.497151
24670	2.23342	0.742292	2.2e-07	0.484559
26110.8	2.11917	0.701536	0.000447551	0.471409
27635.8	2.11174	0.69644	2.2e-07	0.45975
29249.8	2.17272	0.713855	2.2e-07	0.447409
30958.1	2.08603	0.682077	0.000208712	0.435826
32766.2	2.08448	0.67773	2.2e-07	0.424791
34679.9	1.94847	0.629952	2.2e-07	0.413111
36705.3	1.89822	0.60976	2.2e-07	0.402902
38849	1.89331	0.604152	2.2e-07	0.392525
41118	2.02136	0.640536	1.68e-05	0.382594
43519.4	1.91561	0.602598	1.68e-05	0.373228
46061.1	1.79781	0.561418	1.68e-05	0.358614
48751.2	1.81598	0.562961	1.68e-05	0.334998
51598.5	1.74928	0.538392	2.08e-05	0.314257
54612	1.86493	0.569911	2.08e-05	0.295822
57801.6	1.82919	0.555014	2.08e-05	0.279649
61177.4	1.80985	0.545194	5.46e-05	0.26458
64750.4	1.70085	0.508599	5.46e-05	0.251711
68532.1	1.73844	0.516008	5.46e-05	0.238092
72534.6	1.73308	0.509731	4.13e-05	0.226566
76770.9	1.63836	0.477001	4.13e-05	0.216137
81254.6	1.63419	0.470966	1.84e-05	0.205968
86000.1	1.52394	0.434786	1.84e-05	0.197571
91022.9	1.55465	0.439226	4.21e-05	0.18914
96338.9	1.61691	0.452951	4.21e-05	0.182108
101966	1.5649	0.424226	2.18e-05	0.175474
107921	1.54218	0.40981	2.18e-05	0.170049
114224	1.51814	0.395981	2.18e-05	0.164307
120895	1.49384	0.38234	2.18e-05	0.158523
127955	1.476	0.370678	2.18e-05	0.154403
135429	1.45712	0.359762	2.18e-05	0.150042
143338	1.43713	0.349205	0.000141768	0.145929
